#物品表配置信息																				
#物品id	物品图标	物品名字	物品类型(2物品，3英雄，5装备碎片)	物品类型名称（1.英雄整卡（ID和roledetail表对应）；2、英雄碎片；3相框；4、宝石；5概括显示未知装备）	物品介绍	限制等级（0表示不限制等级）	物品品质（1白、2绿、3蓝、4紫、5橙、6橙1、 7橙2、 8橙3）	物品类型（1.英雄整卡；2、英雄碎片；3、英雄经验丹；4、强化石;5、星座激活材料；6、碎片；7、金币；8、装备；9、体力丹；10、宝箱；11、钻石；12扫荡券；13决斗币；14竞技币；15龙币；16积分币；17VIP；18书页；19精炼石；20突破石；21装备碎片；22相框激活物品；23力量宝石；24敏捷宝石；25智力宝石；26体质宝石；27专注宝石）28风之技能材料、29木之技能材料、30雷之技能材料、31冰之技能材料、32火之技能材料、33VIP经验卡 34概括显示性物品 35 队伍经验卡）	物品效果（对应物品类型起作用:1、整卡使用后转化成对应英雄碎片数量；3、经验值；4、强化经验值；5、星座相对位置ID；7、使用后获得对应的金币数量；8装备；9、使用后获得对应数量的体力；10、对应宝箱子表的宝箱ID；11、对应的钻石数量；12激活相应书籍；13激活相应相框	合成后的物品ID	合成所需的碎片数量	合成所需费用	出售价格（金币）	最大叠加数	是否可使用（1、可使用；0、不可使用）	是否获得自动使用（0表示不自动使用；1表示自动使用）	套装类别(装备碎片特有)	是否可出售（1是、2否）	获得后是否归公会统一分配（0，表示不分配，1表示归公会分配）	是否显示在公会副本展示中（0不显示，1显示）
int	string	string	int	string	string	int	int	int	int	int	int	int	float	int	int	int	int	int	int	int
4108	zhihun-tianxie	天蝎之魂	2	星座激活材料	使用可以激活天蝎之魂	0	4	5					100	999	0	0			1	
4109	zhihun-sheshou	射手之魂	2	星座激活材料	使用可以激活射手之魂	0	5	5					100	999	0	0			1	
4110	zhihun-mojie	魔蝎之魂	2	星座激活材料	使用可以激活魔蝎之魂	0	6	5					100	999	0	0			1	
4111	zhihun-shuiping	水瓶之魂	2	星座激活材料	使用可以激活水瓶之魂	0	7	5					100	999	0	0			1	
4112	zhihun-shuangyu	双鱼之魂	2	星座激活材料	使用可以激活双鱼之魂	0	8	5					100	999	0	0			1	
4201	huiyao-baiyang	白羊辉耀碎片	2	碎片	积累1碎片可合成白羊辉耀	0	3	6		4001	2	1000	10	99999	0	0			1	
4202	ningju-baiyang	白羊凝聚碎片	2	碎片	积累1碎片可合成白羊凝聚	0	3	6		4002	2	1000	10	99999	0	0			1	
4203	guangmang-baiyang	白羊光芒碎片	2	碎片	积累1碎片可合成白羊光芒	0	3	6		4003	2	1000	10	99999	0	0			1	
4204	busi-baiyang	白羊不死碎片	2	碎片	积累1碎片可合成白羊不死	0	3	6		4004	2	1000	10	99999	0	0			1	
4205	xuanwu-baiyang	白羊旋舞碎片	2	碎片	积累1碎片可合成白羊旋舞	0	3	6		4005	2	1000	10	99999	0	0			1	
4206	zhixin-baiyang	白羊之心碎片	2	碎片	积累1碎片可合成白羊之心	0	3	6		4006	2	1000	10	99999	0	0			1	
4207	huiyao-jinniu	金牛辉耀碎片	2	碎片	积累2碎片可合成金牛辉耀	0	3	6		4007	2	1000	10	99999	0	0			1	
4208	ningju-jinniu	金牛凝聚碎片	2	碎片	积累2碎片可合成金牛凝聚	0	3	6		4008	2	1000	10	99999	0	0			1	
4209	guangmang-jinniu	金牛光芒碎片	2	碎片	积累2碎片可合成金牛光芒	0	3	6		4009	2	1000	10	99999	0	0			1	
4210	busi-jinniu	金牛不死碎片	2	碎片	积累2碎片可合成金牛不死	0	3	6		4010	2	1000	10	99999	0	0			1	
4211	xuanwu-jinniu	金牛旋舞碎片	2	碎片	积累2碎片可合成金牛旋舞	0	3	6		4011	2	1000	10	99999	0	0			1	
4212	zhixin-jinniu	金牛之心碎片	2	碎片	积累2碎片可合成金牛之心	0	3	6		4012	2	1000	10	99999	0	0			1	
4213	huiyao-shuangzi	双子辉耀碎片	2	碎片	积累5碎片可合成双子辉耀	0	3	6		4013	5	1000	10	99999	0	0			1	
4214	ningju-shuangzi	双子凝聚碎片	2	碎片	积累5碎片可合成双子凝聚	0	3	6		4014	5	1000	10	99999	0	0			1	
4215	guangmang-shuangzi	双子光芒碎片	2	碎片	积累5碎片可合成双子光芒	0	3	6		4015	5	1000	10	99999	0	0			1	
4216	busi-shuangzi	双子不死碎片	2	碎片	积累5碎片可合成双子不死	0	3	6		4016	5	1000	10	99999	0	0			1	
4217	xuanwu-shuangzi	双子旋舞碎片	2	碎片	积累5碎片可合成双子旋舞	0	3	6		4017	5	1000	10	99999	0	0			1	
4218	zhixin-shuangzi	双子之心碎片	2	碎片	积累5碎片可合成双子之心	0	3	6		4018	5	1000	10	99999	0	0			1	
4219	huiyao-juxie	巨蟹辉耀碎片	2	碎片	积累8碎片可合成巨蟹辉耀	0	3	6		4019	8	1000	10	99999	0	0			1	
4220	ningju-juxie	巨蟹凝聚碎片	2	碎片	积累8碎片可合成巨蟹凝聚	0	3	6		4020	8	1000	10	99999	0	0			1	
4221	guangmang-juxie	巨蟹光芒碎片	2	碎片	积累8碎片可合成巨蟹光芒	0	3	6		4021	8	1000	10	99999	0	0			1	
4222	busi-juxie	巨蟹不死碎片	2	碎片	积累8碎片可合成巨蟹不死	0	4	6		4022	8	1000	10	99999	0	0			1	
4223	xuanwu-juxie	巨蟹旋舞碎片	2	碎片	积累8碎片可合成巨蟹旋舞	0	4	6		4023	8	1000	10	99999	0	0			1	
4224	zhixin-juxie	巨蟹之心碎片	2	碎片	积累8碎片可合成巨蟹之心	0	4	6		4024	8	1000	10	99999	0	0			1	
4225	huiyao-shizi	狮子辉耀碎片	2	碎片	积累12碎片可合成狮子辉耀	0	4	6		4025	12	1000	10	99999	0	0			1	
4226	ningju-shizi	狮子凝聚碎片	2	碎片	积累12碎片可合成狮子凝聚	0	4	6		4026	12	1000	10	99999	0	0			1	
4227	guangmang-shizi	狮子光芒碎片	2	碎片	积累12碎片可合成狮子光芒	0	4	6		4027	12	1000	10	99999	0	0			1	
4228	busi-shizi	狮子不死碎片	2	碎片	积累12碎片可合成狮子不死	0	4	6		4028	12	1000	10	99999	0	0			1	
4229	xuanwu-shizi	狮子旋舞碎片	2	碎片	积累12碎片可合成狮子旋舞	0	4	6		4029	12	1000	10	99999	0	0			1	
4230	zhixin-shizi	狮子之心碎片	2	碎片	积累12碎片可合成狮子之心	0	4	6		4030	12	1000	10	99999	0	0			1	
4231	huiyao-chunv	处女辉耀碎片	2	碎片	积累16碎片可合成处女辉耀	0	4	6		4031	16	1000	10	99999	0	0			1	
4232	ningju-chunv	处女凝聚碎片	2	碎片	积累16碎片可合成处女凝聚	0	4	6		4032	16	1000	10	99999	0	0			1	
4233	guangmang-chunv	处女光芒碎片	2	碎片	积累16碎片可合成处女光芒	0	4	6		4033	16	1000	10	99999	0	0			1	
4234	busi-chunv	处女不死碎片	2	碎片	积累16碎片可合成处女不死	0	4	6		4034	16	1000	10	99999	0	0			1	
4235	xuanwu-chunv	处女旋舞碎片	2	碎片	积累16碎片可合成处女旋舞	0	4	6		4035	16	1000	10	99999	0	0			1	
4236	zhixin-chunv	处女之心碎片	2	碎片	积累16碎片可合成处女之心	0	4	6		4036	16	1000	10	99999	0	0			1	
4237	huiyao-tianqing	天秤辉耀碎片	2	碎片	积累20碎片可合成天秤辉耀	0	4	6		4037	20	1000	10	99999	0	0			1	
4238	ningju-tianping	天秤凝聚碎片	2	碎片	积累20碎片可合成天秤凝聚	0	4	6		4038	20	1000	10	99999	0	0			1	
4239	guangmang-tianping	天秤光芒碎片	2	碎片	积累20碎片可合成天秤光芒	0	4	6		4039	20	1000	10	99999	0	0			1	
4240	busi-tianping	天秤不死碎片	2	碎片	积累20碎片可合成天秤不死	0	4	6		4040	20	1000	10	99999	0	0			1	
4241	xuanwu-tianping	天秤旋舞碎片	2	碎片	积累20碎片可合成天秤旋舞	0	4	6		4041	20	1000	10	99999	0	0			1	
4242	zhixin-tianping	天秤之心碎片	2	碎片	积累20碎片可合成天秤之心	0	4	6		4042	20	1000	10	99999	0	0			1	
4243	huiyao-tianxie	天蝎辉耀碎片	2	碎片	积累25碎片可合成天蝎辉耀	0	4	6		4043	25	1000	10	99999	0	0			1	
4244	ningju-tianxie	天蝎凝聚碎片	2	碎片	积累25碎片可合成天蝎凝聚	0	4	6		4044	25	1000	10	99999	0	0			1	
4245	guangmang-tianxie	天蝎光芒碎片	2	碎片	积累25碎片可合成天蝎光芒	0	4	6		4045	25	1000	10	99999	0	0			1	
4246	busi-tianxie	天蝎不死碎片	2	碎片	积累25碎片可合成天蝎不死	0	4	6		4046	25	1000	10	99999	0	0			1	
4247	xuanwu-tianxie	天蝎旋舞碎片	2	碎片	积累25碎片可合成天蝎旋舞	0	4	6		4047	25	1000	10	99999	0	0			1	
4248	zhixin-tianxie	天蝎之心碎片	2	碎片	积累25碎片可合成天蝎之心	0	4	6		4048	25	1000	10	99999	0	0			1	
4249	huiyao-sheshou	射手辉耀碎片	2	碎片	积累30碎片可合成射手辉耀	0	4	6		4049	30	1000	10	99999	0	0			1	
4250	ningju-sheshou	射手凝聚碎片	2	碎片	积累30碎片可合成射手凝聚	0	4	6		4050	30	1000	10	99999	0	0			1	
4251	guangmang-sheshou	射手光芒碎片	2	碎片	积累30碎片可合成射手光芒	0	4	6		4051	30	1000	10	99999	0	0			1	
4252	busi-sheshou	射手不死碎片	2	碎片	积累30碎片可合成射手不死	0	4	6		4052	30	1000	10	99999	0	0			1	
4253	xuanwu-sheshou	射手旋舞碎片	2	碎片	积累30碎片可合成射手旋舞	0	4	6		4053	30	1000	10	99999	0	0			1	
4254	zhixin-sheshou	射手之心碎片	2	碎片	积累30碎片可合成射手之心	0	4	6		4054	30	1000	10	99999	0	0			1	
4255	huiyao-mojie	摩羯辉耀碎片	2	碎片	积累35碎片可合成魔蝎辉耀	0	4	6		4055	35	1000	10	99999	0	0			1	
4256	ningju-mojie	摩羯凝聚碎片	2	碎片	积累35碎片可合成魔蝎凝聚	0	4	6		4056	35	1000	10	99999	0	0			1	
4257	guangmang-mojie	摩羯光芒碎片	2	碎片	积累35碎片可合成魔蝎光芒	0	5	6		4057	35	1000	10	99999	0	0			1	
4258	busi-mojie	摩羯不死碎片	2	碎片	积累35碎片可合成魔蝎不死	0	5	6		4058	35	1000	10	99999	0	0			1	
4259	xuanwu-mojie	摩羯旋舞碎片	2	碎片	积累35碎片可合成魔蝎旋舞	0	5	6		4059	35	1000	10	99999	0	0			1	
4260	zhixin-mojie	摩羯之心碎片	2	碎片	积累35碎片可合成魔蝎之心	0	5	6		4060	35	1000	10	99999	0	0			1	
4261	huiyao-shuiping	水瓶辉耀碎片	2	碎片	积累40碎片可合成水瓶辉耀	0	5	6		4061	40	1000	10	99999	0	0			1	
4262	ningju-shuiping	水瓶凝聚碎片	2	碎片	积累40碎片可合成水瓶凝聚	0	5	6		4062	40	1000	10	99999	0	0			1	
4263	guangmang-shuiping	水瓶光芒碎片	2	碎片	积累40碎片可合成水瓶光芒	0	5	6		4063	40	1000	10	99999	0	0			1	
4264	busi-shuiping	水瓶不死碎片	2	碎片	积累40碎片可合成水瓶不死	0	6	6		4064	40	1000	10	99999	0	0			1	
4265	xuanwu-shuiping	水瓶旋舞碎片	2	碎片	积累40碎片可合成水瓶旋舞	0	6	6		4065	40	1000	10	99999	0	0			1	
4266	zhixin-shuiping	水瓶之心碎片	2	碎片	积累40碎片可合成水瓶之心	0	6	6		4066	40	1000	10	99999	0	0			1	
4267	huiyao-shuangyu	双鱼辉耀碎片	2	碎片	积累50碎片可合成双鱼辉耀	0	6	6		4067	50	1000	10	99999	0	0			1	
4268	ningju-shuangyu	双鱼凝聚碎片	2	碎片	积累50碎片可合成双鱼凝聚	0	6	6		4068	50	1000	10	99999	0	0			1	
4269	guangmang-shuangyu	双鱼光芒碎片	2	碎片	积累50碎片可合成双鱼光芒	0	6	6		4069	50	1000	10	99999	0	0			1	
4270	busi-shuangyu	双鱼不死碎片	2	碎片	积累50碎片可合成双鱼不死	0	6	6		4070	50	1000	10	99999	0	0			1	
4271	xuanwu-shuangyu	双鱼旋舞碎片	2	碎片	积累50碎片可合成双鱼旋舞	0	7	6		4071	50	1000	10	99999	0	0			1	
4272	zhixin-shuangyu	双鱼之心碎片	2	碎片	积累50碎片可合成双鱼之心	0	7	6		4072	50	1000	10	99999	0	0			1	
4301	zhihun-baiyang	白羊之魂碎片	2	碎片	积累1碎片可合成白羊之魂	0	7	6		4073	1	1000	10	99999	0	0			1	
4302	zhihun-jinniu	金牛之魂碎片	2	碎片	积累1碎片可合成金牛之魂	0	7	6		4074	1	1000	10	99999	0	0			1	
4303	zhihun-shuangzi	双子之魂碎片	2	碎片	积累1碎片可合成双子之魂	0	7	6		4075	1	1000	10	99999	0	0			1	
4304	zhihun-juxie	巨蟹之魂碎片	2	碎片	积累1碎片可合成巨蟹之魂	0	7	6		4076	1	1000	10	99999	0	0			1	
4305	zhihun-shizi	狮子之魂碎片	2	碎片	积累1碎片可合成狮子之魂	0	7	6		4077	1	1000	10	99999	0	0			1	
4306	zhihun-chunv	处女之魂碎片	2	碎片	积累1碎片可合成处女之魂	0	8	6		4078	1	1000	10	99999	0	0			1	
4307	zhihun-tianping	天秤之魂碎片	2	碎片	积累1碎片可合成天秤之魂	0	8	6		4079	1	1000	10	99999	0	0			1	
4308	zhihun-tianxie	天蝎之魂碎片	2	碎片	积累1碎片可合成天蝎之魂	0	8	6		4080	1	1000	10	99999	0	0			1	
4309	zhihun-sheshou	射手之魂碎片	2	碎片	积累1碎片可合成射手之魂	0	8	6		4081	1	1000	10	99999	0	0			1	
4310	zhihun-mojie	魔蝎之魂碎片	2	碎片	积累1碎片可合成魔蝎之魂	0	8	6		4082	1	1000	10	99999	0	0			1	
4311	zhihun-shuiping	水瓶之魂碎片	2	碎片	积累1碎片可合成水瓶之魂	0	8	6		4083	1	1000	10	99999	0	0			1	
4312	zhihun-shuangyu	双鱼之魂碎片	2	碎片	积累1碎片可合成双鱼之魂	0	8	6		4084	1	1000	10	99999	0	0			1	
5000	book-riji	纯白日记书页	2	书籍	在征程1、2、3章获得，可激活相应章节日记	0	1	18	12				10	999	0	0			1	
5001	book-riji	青绿日记书页	2	书籍	在征程4、5、6章获得，可激活相应章节日记	0	2	18	12				10	999	0	0			1	
5002	book-riji	亮蓝日记书页	2	书籍	在征程7、8、9章获得，可激活相应章节日记	0	3	18	12				10	999	0	0			1	
5003	book-riji	淡紫日记书页	2	书籍	在征程10、11、12章获得，可激活相应章节日记	0	4	18	12				10	999	0	0			1	
5004	book-riji	橙黄日记书页	2	书籍	在征程13、14、15章获得，可激活相应章节日记	0	5	18	12				10	999	0	0			1	
5005	book-riji	红钻日记书页	2	书籍	在征程16、17、18章获得，可激活相应章节日记	0	6	18	12				10	999	0	0			1	
5006	book-shijie	纯白世界拼图	2	书籍	在征程1、2、3章获得，可激活相应世界书籍	0	1	18	12				10	999	0	0			1	
5007	book-shijie	青绿世界拼图	2	书籍	在征程4、5、6章获得，可激活相应世界书籍	0	2	18	12				10	999	0	0			1	
5008	book-shijie	亮蓝世界拼图	2	书籍	在征程7、8、9章获得，可激活相应世界书籍	0	3	18	12				10	999	0	0			1	
5009	book-shijie	淡紫世界拼图	2	书籍	在征程10、11、12章获得，可激活相应世界书籍	0	4	18	12				10	999	0	0			1	
5010	book-shijie	橙黄世界拼图	2	书籍	在征程13、14、15章获得，可激活相应世界书籍	0	5	18	12				10	999	0	0			1	
5011	book-shijie	红钻世界拼图	2	书籍	在征程16、17、18章获得，可激活相应世界书籍	0	6	18	12				10	999	0	0			1	
5012	book-canye	残页拼图	2	书籍	可用于激活残页	0	6	18	12				10	999	0	0			1	
5013	wenhao	橙色装备	2	有机率获得橙色装备	有几率获得橙色装备	0	5	24									1			
5014	dasuipian	橙色碎片	2	有机率获得激活精炼材料	有几率获得装备精炼材料	0	5	24									1			
5015	wenhao	橙色装备	2	有机率获得橙色装备	有几率获得橙色装备	0	5	24									2			
5016	dasuipian	橙色碎片	2	有机率获得激活精炼材料	有几率获得装备精炼材料	0	5	24									2			
5017	wenhao	橙色装备	2	有机率获得橙色装备	有几率获得橙色装备	0	5	24									3			
5018	dasuipian	橙色碎片	2	有机率获得激活精炼材料	有几率获得装备精炼材料	0	5	24									3			
5019	wenhao	橙色装备	2	有机率获得橙色装备	有几率获得橙色装备	0	5	24									4			
5020	dasuipian	橙色碎片	2	有机率获得激活精炼材料	有几率获得装备精炼材料	0	5	24									4			
5021	wenhao	橙色装备	2	有机率获得橙色装备	有几率获得橙色装备	0	5	24									5			
5022	dasuipian	橙色碎片	2	有机率获得激活精炼材料	有几率获得装备精炼材料	0	5	24									5			
6001	wuqi1-icon	开荒剑拼图	5	装备碎片	这是块装备拼图	0	1	21		10001	2	0	10	99999	0	0			1	
6002	yifu1-icon	后街T恤拼图	5	装备碎片	这是块装备拼图	0	1	21		10002	2	0	10	99999	0	0			1	
6003	shoutao1-icon	牛仔手套拼图	5	装备碎片	这是块装备拼图	0	1	21		10003	2	0	10	99999	0	0			1	
6004	xiezi1-icon	学者板鞋拼图	5	装备碎片	这是块装备拼图	0	1	21		10004	2	0	10	99999	0	0			1	
6005	xianglian1-icon	防御项链拼图	5	装备碎片	这是块装备拼图	0	1	21		10005	2	0	10	99999	0	0			1	
6006	kuzi1-icon	力量长裤拼图	5	装备碎片	这是块装备拼图	0	1	21		10006	2	0	10	99999	0	0			1	
6007	wuqi1-icon	大铁剑拼图	5	装备碎片	这是块装备拼图	0	2	21		10007	5	0	10	99999	0	0			1	
6008	yifu1-icon	忍者T恤拼图	5	装备碎片	这是块装备拼图	0	2	21		10008	5	0	10	99999	0	0			1	
6009	shoutao1-icon	攀岩手套拼图	5	装备碎片	这是块装备拼图	0	2	21		10009	5	0	10	99999	0	0			1	
6010	xiezi1-icon	征途板鞋拼图	5	装备碎片	这是块装备拼图	0	2	21		10010	5	0	10	99999	0	0			1	
6011	xianglian1-icon	长风项链拼图	5	装备碎片	这是块装备拼图	0	2	21		10011	5	0	10	99999	0	0			1	
6012	kuzi1-icon	沧澜长裤拼图	5	装备碎片	这是块装备拼图	0	2	21		10012	5	0	10	99999	0	0			1	
6013	wq1-icon	饮光剑拼图	5	装备碎片	这是块装备拼图	0	3	21		10013	10	0	10	99999	0	0			1	
6014	yf1-icon	智力T恤拼图	5	装备碎片	这是块装备拼图	0	3	21		10014	10	0	10	99999	0	0			1	
6015	st1-icon	板钉手套拼图	5	装备碎片	这是块装备拼图	0	3	21		10015	10	0	10	99999	0	0			1	
6016	xz1-icon	荧光板鞋拼图	5	装备碎片	这是块装备拼图	0	3	21		10016	10	0	10	99999	0	0			1	
6017	xl1-icon	雷云项链拼图	5	装备碎片	这是块装备拼图	0	3	21		10017	10	0	10	99999	0	0			1	
6018	kz1-icon	华纹长裤拼图	5	装备碎片	这是块装备拼图	0	3	21		10018	10	0	10	99999	0	0			1	
6019	wq2-icon	穿云长剑拼图	5	装备碎片	这是块装备拼图	0	4	21		10019	20	0	10	99999	0	0			1	
6020	yf2-icon	赤炉火T恤拼图	5	装备碎片	这是块装备拼图	0	4	21		10020	20	0	10	99999	0	0			1	
6021	st2-icon	疾速手套拼图	5	装备碎片	这是块装备拼图	0	4	21		10021	20	0	10	99999	0	0			1	
6022	xz2-icon	独步板鞋拼图	5	装备碎片	这是块装备拼图	0	4	21		10022	20	0	10	99999	0	0			1	
6023	xl2-icon	王冠项链拼图	5	装备碎片	这是块装备拼图	0	4	21		10023	20	0	10	99999	0	0			1	
6024	kz2-icon	磁力长裤拼图	5	装备碎片	这是块装备拼图	0	4	21		10024	20	0	10	99999	0	0			1	
6025	wq3-icon	暗·临风斩拼图	5	装备碎片	这是块装备拼图	0	5	21		10025	50	0	10	99999	0	0			1	
6026	yf3-icon	暗·沧之衣拼图	5	装备碎片	这是块装备拼图	0	5	21		10026	50	0	10	99999	0	0			1	
6027	st3-icon	暗·夜手套拼图	5	装备碎片	这是块装备拼图	0	5	21		10027	50	0	10	99999	0	0			1	
6028	xz3-icon	暗·奥斯靴拼图	5	装备碎片	这是块装备拼图	0	5	21		10028	50	0	10	99999	0	0			1	
6029	xl3-icon	暗·凌月链拼图	5	装备碎片	这是块装备拼图	0	5	21		10029	50	0	10	99999	0	0			1	
6030	kz3-icon	暗·流火裤拼图	5	装备碎片	这是块装备拼图	0	5	21		10030	50	0	10	99999	0	0			1	
6031	wq4-icon	掣·羽刃拼图	5	装备碎片	这是块装备拼图	0	6	21		10031	100	0	10	99999	0	0			1	
6032	yf4-icon	掣·幻之衣拼图	5	装备碎片	这是块装备拼图	0	6	21		10032	100	0	10	99999	0	0			1	
6033	st4-icon	掣·战手套拼图	5	装备碎片	这是块装备拼图	0	6	21		10033	100	0	10	99999	0	0			1	
6034	xz4-icon	掣·幻灵靴拼图	5	装备碎片	这是块装备拼图	0	6	21		10034	100	0	10	99999	0	0			1	
6035	xl4-icon	掣·雷火链拼图	5	装备碎片	这是块装备拼图	0	6	21		10035	100	0	10	99999	0	0			1	
6036	kz4-icon	掣·密林裤拼图	5	装备碎片	这是块装备拼图	0	6	21		10036	100	0	10	99999	0	0			1	
6037	wq5-icon	炽·灼炎斩拼图	5	装备碎片	这是块装备拼图	0	7	21		10037	150	0	10	99999	0	0			1	
6038	yf5-icon	炽·月风衣拼图	5	装备碎片	这是块装备拼图	0	7	21		10038	150	0	10	99999	0	0			1	
6039	st5-icon	炽·火手套拼图	5	装备碎片	这是块装备拼图	0	7	21		10039	150	0	10	99999	0	0			1	
6040	xz5-icon	炽·归云靴拼图	5	装备碎片	这是块装备拼图	0	7	21		10040	150	0	10	99999	0	0			1	
6041	xl5-icon	炽·魔炎祭拼图	5	装备碎片	这是块装备拼图	0	7	21		10041	150	0	10	99999	0	0			1	
6042	kz5-icon	炽·焰长裤拼图	5	装备碎片	这是块装备拼图	0	7	21		10042	150	0	10	99999	0	0			1	
6043	wq6-icon	禁·流光斩拼图	5	装备碎片	这是块装备拼图	0	8	21		10043	200	0	10	99999	0	0			1	
6044	yf6-icon	禁·制盔甲拼图	5	装备碎片	这是块装备拼图	0	8	21		10044	200	0	10	99999	0	0			1	
6045	st6-icon	禁·雷手套拼图	5	装备碎片	这是块装备拼图	0	8	21		10045	200	0	10	99999	0	0			1	
6046	xz6-icon	禁·归云影拼图	5	装备碎片	这是块装备拼图	0	8	21		10046	200	0	10	99999	0	0			1	
6047	xl6-icon	禁·天火魂拼图	5	装备碎片	这是块装备拼图	0	8	21		10047	200	0	10	99999	0	0			1	
6048	kz6-icon	禁·苍月裤拼图	5	装备碎片	这是块装备拼图	0	8	21		10048	200	0	10	99999	0	0			1	
6049	wq3-icon	突刺长剑拼图	5	装备碎片	这是块装备拼图	0	5	21		10049	50	0	10	99999	0	0	1		1	
6050	yf3-icon	攻防T恤拼图	5	装备碎片	这是块装备拼图	0	5	21		10050	50	0	10	99999	0	0	1		1	
6051	st3-icon	矮人手套拼图	5	装备碎片	这是块装备拼图	0	5	21		10051	50	0	10	99999	0	0	1		1	
6052	xz3-icon	地魔板鞋拼图	5	装备碎片	这是块装备拼图	0	5	21		10052	50	0	10	99999	0	0	1		1	
6053	xl3-icon	防护项链拼图	5	装备碎片	这是块装备拼图	0	5	21		10053	50	0	10	99999	0	0	1		1	
6054	kz3-icon	猎音长裤拼图	5	装备碎片	这是块装备拼图	0	5	21		10054	50	0	10	99999	0	0	1		1	
6055	wq4-icon	驱魔长剑拼图	5	装备碎片	这是块装备拼图	0	5	21		10055	50	0	10	99999	0	0	2		1	
6056	yf4-icon	魔法T恤拼图	5	装备碎片	这是块装备拼图	0	5	21		10056	50	0	10	99999	0	0	2		1	
6057	st4-icon	战英手套拼图	5	装备碎片	这是块装备拼图	0	5	21		10057	50	0	10	99999	0	0	2		1	
6058	xz4-icon	风速板鞋拼图	5	装备碎片	这是块装备拼图	0	5	21		10058	50	0	10	99999	0	0	2		1	
6059	xl4-icon	净化项链拼图	5	装备碎片	这是块装备拼图	0	5	21		10059	50	0	10	99999	0	0	2		1	
6060	kz4-icon	炎灵长裤拼图	5	装备碎片	这是块装备拼图	0	5	21		10060	50	0	10	99999	0	0	2		1	
6061	wq5-icon	风影剑拼图	5	装备碎片	这是块装备拼图	0	5	21		10061	50	0	10	99999	0	0	3		1	
6062	yf5-icon	幻音T恤拼图	5	装备碎片	这是块装备拼图	0	5	21		10062	50	0	10	99999	0	0	3		1	
6063	st5-icon	禁风手套拼图	5	装备碎片	这是块装备拼图	0	5	21		10063	50	0	10	99999	0	0	3		1	
6064	xz5-icon	精灵板鞋拼图	5	装备碎片	这是块装备拼图	0	5	21		10064	50	0	10	99999	0	0	3		1	
6065	xl5-icon	幻魔项链拼图	5	装备碎片	这是块装备拼图	0	5	21		10065	50	0	10	99999	0	0	3		1	
6066	kz5-icon	法师长裤拼图	5	装备碎片	这是块装备拼图	0	5	21		10066	50	0	10	99999	0	0	3		1	
6067	wq6-icon	魔齿剑拼图	5	装备碎片	这是块装备拼图	0	5	21		10067	50	0	10	99999	0	0	4		1	
6068	yf6-icon	使魔T恤拼图	5	装备碎片	这是块装备拼图	0	5	21		10068	50	0	10	99999	0	0	4		1	
6069	st6-icon	结印手套拼图	5	装备碎片	这是块装备拼图	0	5	21		10069	50	0	10	99999	0	0	4		1	
6070	xz6-icon	侍影板鞋拼图	5	装备碎片	这是块装备拼图	0	5	21		10070	50	0	10	99999	0	0	4		1	
6071	xl6-icon	灵媒项链拼图	5	装备碎片	这是块装备拼图	0	5	21		10071	50	0	10	99999	0	0	4		1	
6072	kz6-icon	军师长裤拼图	5	装备碎片	这是块装备拼图	0	5	21		10072	50	0	10	99999	0	0	4		1	
6073	wq7-icon	祭祀长剑拼图	5	装备碎片	这是块装备拼图	0	5	21		10073	50	0	10	99999	0	0	5		1	
6074	yf7-icon	护甲T恤拼图	5	装备碎片	这是块装备拼图	0	5	21		10074	50	0	10	99999	0	0	5		1	
6075	st7-icon	谷峰手套拼图	5	装备碎片	这是块装备拼图	0	5	21		10075	50	0	10	99999	0	0	5		1	
6076	xz7-icon	领域板鞋拼图	5	装备碎片	这是块装备拼图	0	5	21		10076	50	0	10	99999	0	0	5		1	
6077	xl7-icon	夜魔项链拼图	5	装备碎片	这是块装备拼图	0	5	21		10077	50	0	10	99999	0	0	5		1	
6078	kz7-icon	沉光长裤拼图	5	装备碎片	这是块装备拼图	0	5	21		10078	50	0	10	99999	0	0	5		1	
6079	wq8-icon	力·噬魂斩拼图	5	装备碎片	这是块装备拼图	0	6	21		10079	100	0	10	99999	0	0	1		1	
6080	yf8-icon	力·沧溟衣拼图	5	装备碎片	这是块装备拼图	0	6	21		10080	100	0	10	99999	0	0	1		1	
6081	st8-icon	力·风手套拼图	5	装备碎片	这是块装备拼图	0	6	21		10081	100	0	10	99999	0	0	1		1	
6082	xz8-icon	力·凌空靴拼图	5	装备碎片	这是块装备拼图	0	6	21		10082	100	0	10	99999	0	0	1		1	
6083	xl8-icon	力·原影祭拼图	5	装备碎片	这是块装备拼图	0	6	21		10083	100	0	10	99999	0	0	1		1	
6084	kz8-icon	力·幻林裤拼图	5	装备碎片	这是块装备拼图	0	6	21		10084	100	0	10	99999	0	0	1		1	
6085	wq9-icon	术·临风斩拼图	5	装备碎片	这是块装备拼图	0	6	21		10085	100	0	10	99999	0	0	2		1	
6086	yf9-icon	术·折焰甲拼图	5	装备碎片	这是块装备拼图	0	6	21		10086	100	0	10	99999	0	0	2		1	
6087	st9-icon	术·木手套拼图	5	装备碎片	这是块装备拼图	0	6	21		10087	100	0	10	99999	0	0	2		1	
6088	xz9-icon	术·幻灵靴拼图	5	装备碎片	这是块装备拼图	0	6	21		10088	100	0	10	99999	0	0	2		1	
